tokenized_tweet,lemmatized_tweets
"['6', 'collective', 'housing', 'interventions', 'that', 'rethink', 'urban', 'block', 'design', 'archdaily', 'interiordesign', 'architect', 'commercial', 'fitout', 'contractor', 'build', 'design']","[ ' 6 ' , 'collective ' , 'housing ' , 'interventions ' , 'that ' , 'rethink ' , 'urban ' , 'block ' , 'design ' , 'archdaily ' , 'interiordesign ' , 'architect ' , 'commercial ' , 'fitout ' , 'contractor ' , 'build ' , 'design ' ]"
"['minister', 'for', 'housing', 'must', 'explain', 'department', 'underspending', 'eoin', 'broin', 'via', 'newstalkfm']","[ 'minister ' , 'for ' , 'housing ' , 'must ' , 'explain ' , 'department ' , 'underspending ' , 'eoin ' , 'broin ' , 'via ' , 'newstalkfm ' ]"
"['irelands', 'housing', 'crisis', 'generation', 'catastrophe', 'is', 'viewed', 'as', 'the', 'greatest', 'play', 'for', 'rental', 'investors', 'globally', 'we', 'need', 'affordable', 'homes', 'not', 'investors', 'assets', '85', 'million', 'of', 'rent', 'paid', 'to', 'irelands', 'largest', 'landlord', 'went', 'to', 'shareholders', 'many', 'foreign', 'wealth', 'funds', 'housingcrisis']","[ 'irelands ' , 'housing ' , 'crisis ' , 'generation ' , 'catastrophe ' , 'is ' , 'viewed ' , 'as ' , 'the ' , 'greatest ' , 'play ' , 'for ' , 'rental ' , 'investors ' , 'globally ' , 'we ' , 'need ' , 'affordable ' , 'homes ' , 'not ' , 'investors ' , 'assets ' , '85 ' , 'million ' , 'of ' , 'rent ' , 'paid ' , 'to ' , 'irelands ' , 'largest ' , 'landlord ' , 'went ' , 'to ' , 'shareholders ' , 'many ' , 'foreign ' , 'wealth ' , 'funds ' , 'housingcrisis ' ]"
"['quite', 'a', 'gulf', 'between', 'this', 'anon', 'fine', 'gael', 'tds', 'saying', 'the', 'gov', 'housing', 'strategy', 'should', 'be', 'blame', 'ff', 'and', 'more', 'upset', 'at', 'the', 'fact', 'they', 'didnt', 'get', 'dinner', 'tables', 'near', 'biden', 'and', 'polcorrs', 'tuttutting', 'that', 'actually', 'the', 'ungrateful', 'irish', 'electorate', 'are', 'very', 'lucky', 'to', 'have', 'these', 'people']","[ 'quite ' , ' a ' , 'gulf ' , 'between ' , 'this ' , 'anon ' , 'fine ' , 'gael ' , 'tds ' , 'saying ' , 'the ' , 'gov ' , 'housing ' , 'strategy ' , 'should ' , 'be ' , 'blame ' , 'ff ' , 'and ' , 'more ' , 'upset ' , 'at ' , 'the ' , 'fact ' , 'they ' , 'didnt ' , 'get ' , 'dinner ' , 'tables ' , 'near ' , 'biden ' , 'and ' , 'polcorrs ' , 'tuttutting ' , 'that ' , 'actually ' , 'the ' , 'ungrateful ' , 'irish ' , 'electorate ' , 'are ' , 'very ' , 'lucky ' , 'to ' , 'have ' , 'these ' , 'people ' ]"
"['really', 'enjoyed', 'this', 'and', 'feels', 'true', 'ireland', 'now', 'need', 'its', 'future', 'govs', 'of', 'whatever', 'ilk', 'to', 'relentlessly', 'focus', 'on', 'building', 'infra', 'to', 'match', 'its', 'job', 'and', 'booming', 'economy', 'rail', 'housing', 'etc']","[ 'really ' , 'enjoyed ' , 'this ' , 'and ' , 'feels ' , 'true ' , 'ireland ' , 'now ' , 'need ' , 'its ' , 'future ' , 'govs ' , 'of ' , 'whatever ' , 'ilk ' , 'to ' , 'relentlessly ' , 'focus ' , 'on ' , 'building ' , 'infra ' , 'to ' , 'match ' , 'its ' , 'job ' , 'and ' , 'booming ' , 'economy ' , 'rail ' , 'housing ' , 'etc ' ]"
"['kiosk', 'clontarf', 'promenade', 'dublin', 'corporation', 'housing', 'city', 'architects', '1958', 'dublin', 'clontarf', 'photography', 'architecturalphotography', 'thephotohour']","[ 'kiosk ' , 'clontarf ' , 'promenade ' , 'dublin ' , 'corporation ' , 'housing ' , 'city ' , 'architects ' , '1958 ' , 'dublin ' , 'clontarf ' , 'photography ' , 'architecturalphotography ' , 'thephotohour ' ]"
"['im', 'starting', 'to', 'think', 'the', 'three', 'toughest', 'jobs', 'out', 'there', 'at', 'the', 'moment', 'are', '1', 'housing', 'minister', 'darraghobrientd', '2', 'health', 'minister', 'donnellystephen', '3', 'chelseafc', 'managers', 'job', 'currently', 'held', 'in', 'a', 'caretaker', 'capacity', 'by', 'frank', 'lampard', 'chelseafc', 'housingcrisis', 'health']","[ 'im ' , 'starting ' , 'to ' , 'think ' , 'the ' , 'three ' , 'toughest ' , 'jobs ' , 'out ' , 'there ' , 'at ' , 'the ' , 'moment ' , 'are ' , ' 1 ' , 'housing ' , 'minister ' , 'darraghobrientd ' , ' 2 ' , 'health ' , 'minister ' , 'donnellystephen ' , ' 3 ' , 'chelseafc ' , 'managers ' , 'job ' , 'currently ' , 'held ' , 'in ' , ' a ' , 'caretaker ' , 'capacity ' , 'by ' , 'frank ' , 'lampard ' , 'chelseafc ' , 'housingcrisis ' , 'health ' ]"
"['100k', 'vacant', 'homes', 'in', 'ireland', 'in', 'the', 'middle', 'of', 'a', 'housing', 'crisis', 'govts', '0', '3', 'vacant', 'home', 'tax', 'will', 'do', 'nothing', 'to', 'unlock', 'the', 'potential', 'of', 'vacant', 'homes', 'we', 'need', 'a', 'serious', 'vacant', 'homes', 'tax', 'with', 'teeth', 'socdems', 'are', 'calling', 'for', 'a', '10', 'vht']","[ '100k ' , 'vacant ' , 'homes ' , 'in ' , 'ireland ' , 'in ' , 'the ' , 'middle ' , 'of ' , ' a ' , 'housing ' , 'crisis ' , 'govts ' , ' 0 ' , ' 3 ' , 'vacant ' , 'home ' , 'tax ' , 'will ' , 'do ' , 'nothing ' , 'to ' , 'unlock ' , 'the ' , 'potential ' , 'of ' , 'vacant ' , 'homes ' , 'we ' , 'need ' , ' a ' , 'serious ' , 'vacant ' , 'homes ' , 'tax ' , 'with ' , 'teeth ' , 'socdems ' , 'are ' , 'calling ' , 'for ' , ' a ' , '10 ' , 'vht ' ]"
"['fine', 'gael', 'is', 'a', 'very', 'chilling', 'party', 'its', 'tds', 'are', 'furious', 'with', 'leotheleak', 'taking', 'over', 'the', 'housing', 'remit', 'because', 'itll', 'make', 'fg', 'look', 'bad', 'theyre', 'not', 'furious', 'that', 'under', 'his', 'watch', 'theres', 'record', 'homelessness', 'no', 'hope', 'of', 'buying', 'houses', 'for', '1', '000s', 'emigration']","[ 'fine ' , 'gael ' , 'is ' , ' a ' , 'very ' , 'chilling ' , 'party ' , 'its ' , 'tds ' , 'are ' , 'furious ' , 'with ' , 'leotheleak ' , 'taking ' , 'over ' , 'the ' , 'housing ' , 'remit ' , 'because ' , 'itll ' , 'make ' , 'fg ' , 'look ' , 'bad ' , 'theyre ' , 'not ' , 'furious ' , 'that ' , 'under ' , 'his ' , 'watch ' , 'theres ' , 'record ' , 'homelessness ' , 'no ' , 'hope ' , 'of ' , 'buying ' , 'houses ' , 'for ' , ' 1 ' , '000s ' , 'emigration ' ]"
"['tract', 'housing', 'copy', 'paste', 'houses', 'housingcrisis', 'not', 'the', 'solution', 'riaitalk']","[ 'tract ' , 'housing ' , 'copy ' , 'paste ' , 'houses ' , 'housingcrisis ' , 'not ' , 'the ' , 'solution ' , 'riaitalk ' ]"
